BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2025-05-14,1291.54,1316.0,1284.1,5907,7625815.7,178
2025-05-13,1290.98,1306.0,1290.0,5494,7115707.1,185
2025-05-11,1299.26,1305.0,1291.0,2762,3583689.0,128
2025-05-08,1297.75,1300.0,1293.0,4396,5701540.4,121
2025-05-07,1299.7,1310.0,1286.0,6719,8709460.3,173
2025-05-06,1284.53,1300.0,1283.0,2549,3277082.9,104
2025-05-05,1283.74,1289.9,1281.0,3301,4238879.9,122
2025-05-04,1283.01,1305.0,1280.1,6528,8382924.7,208
2025-04-30,1286.66,1296.0,1270.7,2983,3844569.0,112
2025-04-29,1290.73,1305.0,1290.0,5546,7188942.1,162
2025-04-28,1301.96,1320.0,1300.0,2677,3489438.6,127
2025-04-27,1303.24,1315.0,1300.0,5440,7108299.4,176
2025-04-24,1309.13,1315.0,1302.0,3690,4832352.1,137
2025-04-23,1314.55,1318.8,1310.0,3374,4437128.5,127
2025-04-22,1317.67,1330.0,1315.0,3332,4399850.2,139
2025-04-21,1325.05,1334.0,1310.0,2875,3810347.3,135
2025-04-20,1329.64,1357.0,1320.1,2788,3724590.7,126
2025-04-17,1331.59,1345.0,1320.0,4673,6225201.6,171
2025-04-16,1321.85,1335.0,1317.0,3169,4188374.9,147
2025-04-15,1322.26,1330.0,1316.0,3625,4794758.0,137
2025-04-13,1319.98,1325.0,1314.2,4901,6457668.3,189
2025-04-10,1320.14,1341.0,1314.1,3965,5227970.3,159
2025-04-09,1318.07,1337.5,1313.0,4122,5432777.6,194
2025-04-08,1316.98,1320.0,1315.0,5711,7520228.4,137
2025-04-07,1321.18,1339.9,1315.0,2968,3928965.4,114
2025-04-03,1335.75,1350.0,1330.0,2201,2940688.7,97
2025-04-02,1336.47,1345.0,1326.0,1547,2066178.4,83
2025-04-01,1345.0,1356.0,1335.0,2137,2860583.8,92
2025-03-30,1356.51,1369.7,1320.0,2679,3639794.2,114
2025-03-27,1342.89,1349.0,1315.0,3562,4777603.2,96
2025-03-26,1331.45,1339.0,1315.0,2761,3662150.1,91
2025-03-25,1312.92,1326.7,1305.0,4278,5633358.0,153
2025-03-24,1326.71,1350.0,1313.0,3443,4569835.0,114
2025-03-23,1311.71,1365.0,1309.0,7555,1.00312529E7,224
2025-03-20,1346.67,1353.0,1342.0,2773,3735485.4,106
2025-03-19,1354.9,1370.0,1340.0,2903,3931772.4,92
2025-03-18,1362.0,1373.0,1350.0,3376,4607615.3,116
2025-03-17,1366.0,1384.0,1341.2,2497,3415824.4,94
2025-03-16,1368.0,1389.0,1360.0,4506,6176355.3,138
2025-03-12,1388.0,1390.0,1370.0,2109,2909774.1,98
2025-03-11,1375.0,1390.0,1375.0,2986,4112306.1,109
2025-03-10,1382.0,1400.0,1381.0,3618,5018662.1,135
2025-03-09,1390.0,1400.0,1386.0,4971,6922297.8,164
2025-03-06,1407.0,1423.0,1406.0,3894,5492672.0,137
2025-03-05,1406.1,1425.0,1404.0,3140,4441115.9,108
2025-03-04,1426.4,1468.0,1420.1,6896,9877701.0,196
2025-03-03,1440.0,1460.0,1433.0,10880,1.57119757E7,282
2025-03-02,1434.0,1450.0,1419.0,9603,1.37194495E7,246
2025-02-27,1428.0,1496.2,1410.0,6840,9857788.2,186
2025-02-25,1390.0,1400.0,1380.2,4858,6767976.3,122
2025-02-24,1395.0,1409.9,1388.0,4471,6237795.2,133
2025-02-23,1392.0,1412.0,1377.0,4806,6709213.9,161
2025-02-20,1405.0,1425.0,1405.0,3503,4955655.9,124
2025-02-18,1421.0,1439.9,1420.0,4083,5817372.5,130
2025-02-17,1421.0,1430.0,1413.0,7720,1.09906715E7,210
2025-02-16,1402.0,1417.0,1393.0,4133,5806796.3,155
2025-02-13,1390.1,1403.0,1390.0,3576,4983528.3,113
2025-02-12,1390.1,1410.0,1390.1,4499,6299325.9,127
2025-02-11,1408.0,1410.0,1402.0,3379,4753189.1,105
2025-02-10,1405.0,1420.0,1400.0,3639,5113185.2,119
2025-02-09,1413.7,1415.0,1386.7,2566,3613194.1,104
2025-02-06,1410.0,1410.1,1400.0,4918,6923201.3,124
2025-02-05,1410.1,1435.0,1410.0,3436,4868685.5,123
2025-02-04,1430.0,1460.0,1420.2,8562,1.22994541E7,212
2025-02-03,1418.1,1452.0,1413.0,5832,8366695.2,167
2025-02-02,1412.0,1453.0,1365.0,9466,1.32711718E7,275
2025-01-28,1356.1,1365.0,1343.0,4397,5954720.4,112
2025-01-27,1355.0,1360.0,1340.0,2746,3708668.9,107
2025-01-26,1340.0,1350.0,1325.0,4940,6621812.2,126
2025-01-23,1335.0,1375.0,1335.0,5015,6751781.0,135
2025-01-22,1355.0,1355.0,1321.3,4514,6051705.5,142
2025-01-21,1333.0,1341.0,1315.0,2336,3110214.5,96
2025-01-20,1326.0,1340.0,1315.2,2681,3558524.5,95
2025-01-19,1327.0,1335.0,1325.0,3157,4200466.5,118
2025-01-16,1333.0,1350.0,1325.0,2162,2883375.2,81
2025-01-15,1345.1,1360.0,1342.5,2381,3214813.3,93
2025-01-13,1358.0,1370.0,1358.0,3300,4495335.1,118
2025-01-12,1365.2,1388.0,1361.0,1490,2038523.7,46
2025-01-09,1375.0,1390.0,1375.0,4184,5770788.6,114
2025-01-08,1384.0,1415.0,1380.0,8788,1.2247845E7,208
2025-01-07,1361.0,1390.2,1355.0,4424,6032855.5,139
2025-01-06,1363.0,1369.9,1350.0,5337,7259418.1,138
2025-01-05,1359.0,1370.0,1350.0,2568,3489820.8,104
2025-01-02,1365.0,1380.0,1365.0,6907,9453929.2,157
